Prec_ID	Settype	District_name	District	Precint	Attached	Total_Voters	Special_voters	Turnout12	Turnout17	Turnout	Free_georgia	NDP	UNM	Just_georgia	CDM	Popular_movement	Freedom_Zviadi	Georgian_troupe	New_rights	Peoples_party	Kostava_society	Future_georgia	Georgian_workers	Labor	Sportsmens_union	GDC	Annulled
81038	Rural	ქობულეთის	81	38		1217	3	234	670	774	0	0	197	0	7	0	0	0	0	0	0	0	0	7	0	540	23
81039	Rural	ქობულეთის	81	39		521	3	120	315	356	0	0	123	0	8	0	0	0	0	0	0	0	0	5	0	215	5
81040	Rural	ქობულეთის	81	40		565	3	160	342	389	2	3	93	0	20	0	1	0	0	0	0	0	0	4	0	258	8
81041	Rural	ქობულეთის	81	41		1335	5	322	665	765	0	0	367	0	20	0	0	0	0	0	0	0	0	8	0	350	19
81042	Rural	ქობულეთის	81	42		1270	4	283	570	677	0	0	207	0	40	0	0	0	0	0	0	0	0	12	0	406	12
81043	Rural	ქობულეთის	81	43		1497	6	264	670	863	2	0	322	9	0	0	0	0	0	0	0	1	0	18	0	483	25
81044	Rural	ქობულეთის	81	44		1540	5	307	685	810	1	1	338	4	21	0	0	0	0	0	0	0	0	8	0	410	27
81045	Rural	ქობულეთის	81	45		772	1	182	390	458	1	2	206	1	9	0	1	0	5	1	0	0	0	4	0	211	17
81046	Rural	ქობულეთის	81	46		1567	0	446	796	982	0	0	403	0	11	0	0	0	0	0	0	0	0	14	0	547	7
81047	Rural	ქობულეთის	81	47		1141	3	228	576	694	1	3	236	0	22	0	0	0	2	0	0	1	0	4	0	411	14
81048	Rural	ქობულეთის	81	48		1254	8	327	628	703	0	1	197	0	19	0	1	0	6	0	0	0	0	6	0	458	15
81049	Rural	ქობულეთის	81	49		836	3	177	463	506	1	0	147	0	7	0	0	1	7	0	0	0	0	12	0	324	7
81050	Rural	ქობულეთის	81	50		1106	3	263	508	626	1	0	197	1	11	0	0	0	3	0	0	0	0	4	0	396	12
81051	Medium (15-40K)	ქობულეთის	81	51		742	8	177	418	449	0	1	92	0	4	0	0	0	6	0	0	0	0	6	0	331	9
81052	Medium (15-40K)	ქობულეთის	81	52		848	11	206	410	476	1	0	166	3	8	0	0	0	1	0	1	0	0	9	0	277	10
81053	Medium (15-40K)	ქობულეთის	81	53		984	10	278	511	558	0	0	151	1	2	1	1	0	0	0	0	0	0	7	0	379	16
81054	Medium (15-40K)	ქობულეთის	81	54		1289	10	306	667	736	7	0	209	1	5	0	0	0	1	0	0	0	0	7	0	478	25
81055	Rural	ქობულეთის	81	55		721	6	186	361	415	1	0	120	1	6	0	0	0	3	0	0	0	0	4	1	262	17
81056	Rural	ქობულეთის	81	56		971	1	293	537	610	0	1	400	0	24	0	0	0	0	0	0	0	0	9	0	142	33
81057	Rural	ქობულეთის	81	57		731	5	215	390	424	1	1	198	0	11	0	0	0	0	0	0	0	0	1	1	197	14
81058	Rural	ქობულეთის	81	58		987	4	255	505	583	6	1	298	1	23	0	0	0	1	0	0	0	0	14	0	205	33
81059	Rural	ქობულეთის	81	59		1404	3	335	762	897	2	0	290	0	15	0	0	0	1	0	0	0	0	11	1	562	14
81060	Medium (15-40K)	ქობულეთის	81	60		807	3	249	467	552	1	1	124	0	13	1	0	0	0	0	0	0	0	9	1	399	3
81061	Rural	ქობულეთის	81	61		1137	5	199	439	496	0	0	240	0	51	0	0	0	0	0	0	5	0	5	0	177	18
81062	Rural	ქობულეთის	81	62		734	4	161	412	453	0	0	164	0	2	0	0	0	0	0	0	0	0	6	1	269	11
81063	Small-Medium(5-15K)	ქობულეთის	81	63		789	14	235	390	441	1	0	140	0	11	0	0	0	2	0	0	1	0	3	0	258	18
81064	Medium (15-40K)	ქობულეთის	81	64		747	8	270	393	435	0	0	199	0	17	0	0	0	0	0	0	0	0	6	0	166	47
81065	Medium (15-40K)	ქობულეთის	81	65		939	13	47	101	114	0	0	48	0	1	0	0	1	0	0	0	0	0	1	0	59	4
82001	Small (<5K)	შუახევის	82	1		686	16	159	399	450	0	1	238	0	19	0	0	0	1	0	0	0	0	6	0	174	11
